"_id",total_tags,total_views,category_title
8LPVjHxXvJM,36,12147267,Comedy
TdyllLZeviY,19,11979805,Music
fRj34o4hN4I,5,11807992,Science & Technology
jPEYpryMp2s,11,11683185,Entertainment
qUmfriZoMw0,37,11619692,Film & Animation
i3cN9elJWvk,18,11548688,Music
rDl3gAJpm_4,4,11505443,Music
RF-Mqs2qC-M,35,11489427,Entertainment
y06RDyNXqbM,8,11395548,Music
M3mJkSqZbX4,24,11380346,Music
dNW0B0HsvVs,8,11344490,Entertainment
yzshoDMBkqE,3,11304442,News & Politics
jQNazsWnQKU,6,11240174,Education
udm5jUA-2bs,14,10916709,Film & Animation
2BE4X3bYpxY,22,10796531,Music
Ku-WC1EaPXI,33,10782034,Music
rxmtHVSVjdo,24,10680181,Music
jVXauWq9Hwg,24,10653177,Music
D18e8aU-UWs,2,10643045,Music
3rkXFyt7EXw,21,10589247,Music
DSRSgMp5X1w,13,10505570,Music
o7iL2KzDh38,27,10470459,Music
cSp1dM2Vj48,30,10370273,Entertainment
ii3n7hYQOl4,25,10349746,Entertainment
tNtcYIo6N04,47,10269107,Music
UaAHl_m_ybk,8,10257399,Music
k5TqNsr6YuQ,6,10233594,Music
HE8SYbMsm0E,10,10207428,Music
XvIpLfV5GKo,4,10159399,Music
MFWF9dU5Zc0,25,10031591,Entertainment
J3vav5Sfhrw,12,10029280,Music
5E4ZBSInqUU,29,9995273,Music
lGEY8IulWiA,5,9782937,Film & Animation
CANm1UMAChY,19,9776804,Entertainment
WAwRrtH-4Lg,22,9768052,Comedy
u_C4onVrr8U,4,9657370,Music
FFsp5b4AUTE,34,9648943,Sports
7dGwk5-QMpc,18,9486589,Music
E7q_wbbwGyU,6,9448387,Music
VaGcPRMY5UM,4,9438274,Music
LjUXm0Zy_dk,0.0,9419910,Music
tJfDBSWYqU8,33,9358186,Film & Animation
GfCqMv--ncA,5,9297153,Music
T3hXC5yNZOc,7,9251221,Music
vAh7jTAkCKc,7,9211780,Music
LgmxMuW6Fsc,10,9193290,Music
E-u9uo0laA8,18,9137359,Music
SphTGtDlhHw,30,9095192,Music
Ml9v3wHLuWI,28,9057507,Entertainment
axVvZrDz60k,46,9020432,Entertainment
4HU6Z7anycw,6,8982414,Film & Animation
fN5HV79_8B8,22,8968431,Entertainment
0aan7Vtcco0,32,8938666,Sports
zi_6oaQyckM,37,8903489,Music
8BAhwgjMvnM,23,8883305,Film & Animation
8_rTIAOohas,14,8842980,Entertainment
Vm4Xn5vjqRA,22,8788929,Sports
VloKUNlNG2s,6,8778432,Music
2tDKp41nrw8,6,8753550,Music
0XuOkYlUWIs,32,8725060,Entertainment
Jw1Y-zhQURU,9,8721841,Howto & Style
xuAH21DkJow,4,8679504,Music
WlZu4RmD_oU,37,8673159,People & Blogs
X6SaVOLRcF4,31,8656752,Music
zxwfDlhJIpw,34,8626957,People & Blogs
K0GRBMSCIK4,24,8623591,Entertainment
Qcj15vHJTtk,39,8607264,Entertainment
n0j_CX1S2es,24,8597814,Sports
tGRzz0oqgUE,9,8585663,Music
cmc8q2dcIMs,5,8573471,Music
9f5zD7ZSNpQ,11,8568571,Music
lVNt1sUWyDU,10,8538481,Music
VXa16Zl81vE,24,8490391,Music
305ryPvU6A8,20,8486629,Science & Technology
ixxR3ZoqnF0,6,8484137,Music
wdQeKqYrhjU,15,8476656,Music
rCnU-IDcnnI,8,8473680,Entertainment
nVzA1uWTydQ,7,8432344,Music
PjqKPHZJgF0,31,8429354,Music
f55HngFE9YM,33,8325207,Music
rNYduKIyEvA,5,8320357,Music
Q1JiptOTxno,45,8287791,Entertainment
mBrdEYW0Vno,17,8256930,Music
Vm-avsAjrIo,24,8184869,Sports
Kbj2Zss-5GY,4,8139750,Music
7AXo-bYGXI4,7,8136336,Music
sZoZryCb0P0,5,8025330,Music
a7NJ6Gek9v4,1,7994101,People & Blogs
425M4M3Opkk,22,7919156,Film & Animation
Jodbdj52Vc0,23,7917701,Entertainment
igT1QKKm2GE,6,7916368,Music
rQWZK5U233s,11,7915595,Music
jnQ4V-wajLY,0.0,7882139,Music
2SJ0hgdciNE,36,7877471,Music
9flG5EqRPSc,19,7841325,Entertainment
J41qe-TM1DY,7,7800545,Music
zvb2kBii-OU,34,7746670,Music
V3EYjVPRClU,1,7742820,Music
BgR_HJ7aGDY,6,7724919,People & Blogs
CZkUNPBlJIQ,25,7701371,Entertainment
efxiDBygvdg,22,7693735,Music
UKserM-i0_A,24,7676068,Music
J1L3nDC4mEk,24,7675202,Music
HbaQ9xnoMGQ,16,7608552,Music
TSA9VZduuZ4,43,7604626,Music
pRN7UAGVzPE,34,7602365,People & Blogs
5iOhzJdDawE,7,7595900,Entertainment
jSJr3dXZfcg,11,7590874,Gaming
K5xERXE7pxI,13,7540361,Music
Q17z9a03YaM,20,7536395,Entertainment
O-fydBL9g_k,17,7490989,Music
gf7FV1i7lb8,30,7472536,Sports
CyzEtbG-sxY,7,7434919,Music
R1TSiB9OuVM,10,7390059,Music
EBYsx1QWF9A,13,7351946,Entertainment
7bfS6seiLhk,17,7308023,Entertainment
nRafaCcfrcI,31,7301457,Entertainment
ABLsSWE06q4,6,7285185,Music
lMSHTnkVJVs,16,7268812,Music
leu-cTvMWTA,20,7201892,Music
XGd1dq1BatM,15,7200827,Music
NaY91YjVbEM,43,7172963,Comedy
RNlQU-7y9Fo,15,7124076,Music
nVHcXZK7pKs,9,7123638,Entertainment
7PmUtmfTmbg,26,7089685,Music
7R1N-8SoqcM,33,7075316,Music
nsZvmFUXkrI,28,7070175,Comedy
P9Ijqa_2eu0,33,6984304,Music
Wd_idMpg_qQ,7,6966384,Music
4ughEPQGd8w,8,6943585,Music
BC19fhyTG_M,21,6924540,Music
vHwOMWGAg_o,0.0,6807013,Comedy
kgaO45SyaO4,5,6802437,Science & Technology
vjSohj-Iclc,4,6791996,Science & Technology
k2NskGo6x40,28,6768765,Entertainment
4xN-jUfJAyM,16,6763128,Music
v0RrsWK4GlY,25,6747924,Entertainment
l3uG4T8pJfw,15,6744540,People & Blogs
aj8mN_7Apcw,21,6686262,Film & Animation
6sHIq41sI-w,51,6682726,Music
86sFN_2kw5k,19,6630434,Music
9S1Gc1nSXd4,35,6606758,Music
i63jWjoAWHE,15,6597033,Comedy
lo57l5ZDgwU,13,6575631,Entertainment
B663R7kgxEA,22,6558768,People & Blogs
cMD63TwzB1o,4,6547510,Music
IVzGsh0zRec,5,6543327,People & Blogs
7iQn-toQp6A,40,6535720,Entertainment
AenmqoozqoA,14,6519662,Music
uexk7jWXYmU,37,6503316,Music
WyuPSLj_6aw,4,6479552,Music
nlozE2m-NMc,21,6466047,Entertainment
scLYjsvrUMk,8,6426789,Music
Y-iFgDK_D5s,15,6416920,Pets & Animals
4AtOU0dDXv8,9,6379367,News & Politics
NNJKWVmK-GM,20,6362355,Travel & Events
me5ifeBFaFo,43,6355949,Entertainment
I7B0z_2EZmQ,12,6337564,Comedy
mctn16hLzhg,42,6319238,Entertainment
VQhjbCxOxdo,35,6298207,Music
aMcjxSThD54,18,6289507,News & Politics
AbEHRrq7xwU,23,6230350,Music
C_ijc7A5oAc,6,6210175,Music
ItL6vcUrpUs,33,6164967,Music
WapBwuNtUzQ,24,6155214,Entertainment
inZzcTXYowY,4,6155059,Music
7bPSxB-8__o,40,6132645,Film & Animation
ceyU5UBumLU,59,6132079,People & Blogs
UfR5dKcKJvY,24,6102245,Comedy
pisY6J2Ky6U,31,6101540,Entertainment
0URpDxIjZrQ,25,6095300,Film & Animation
cHB_s970Uyw,17,6083953,Entertainment
Ibp6KqGRVbY,23,6078793,Music
ptYSpR9cTHU,21,6057884,Entertainment
8LAoB0R4S5I,41,6052396,Entertainment
W4CB5SeBGkI,12,6044998,Entertainment
f1xIeTCgoFk,0.0,6023641,People & Blogs
fC8gutkCu1c,39,6009216,Music
pcJo0tIWybY,4,6004782,Music
WR7cc5t7tv8,0.0,5967802,Film & Animation
mQ055hHdxbE,7,5948415,Music
CG9yQ8PXf6o,0.0,5916361,Music
6p-QzY5bxJ0,26,5905916,Entertainment
Am6NHDbj6XA,39,5894832,Entertainment
BjRNY3u3bUw,22,5875934,Entertainment
900X9fDFLc4,42,5855069,Music
2WHcBwq2wHc,25,5851780,Sports
gPHVLxm8U-0,31,5829270,Entertainment
V-F7tpdPZ-E,31,5810628,Pets & Animals
jG1JY0rt2Os,20,5801731,Music
KUUjtUP2CrE,15,5752621,Music
fNVUTgd4pio,7,5736755,Music
v6yg4ImnYwA,14,5730531,Entertainment
eZRmP-l3Nz0,9,5692404,Entertainment
TZSVf-yD7N8,26,5643605,Entertainment
PaYvlVR_BEc,36,5621537,Music
guf1L6HmeOc,8,5617319,Entertainment
ys2x8oOK7wE,31,5604640,Music
MctZLEYlU4s,35,5603180,Music
SbrOMrjhyvI,9,5587218,Film & Animation
LxoGNkLpgZk,9,5572104,Music
pOEzjT-SED0,4,5554444,Music
bZs2ImrTg5w,24,5548248,Entertainment
q2sI-T69sjs,38,5547578,Entertainment
2fGXDFiFBhg,34,5539467,Science & Technology
h3EJICKwITw,12,5529883,Entertainment
mUYsp5baMXo,6,5517903,Music
Wlnt6VrVUgc,22,5494956,Film & Animation
xLtYmhj-0Kg,12,5484928,Entertainment
m4faDISwSVo,12,5455878,Film & Animation
vbiiik_T3Bo,26,5452917,Entertainment
uBYzYji4rmE,22,5431961,Film & Animation
r-d5HI-zC3I,8,5419382,Music
z14A0Vblm0I,9,5374678,Music
zX0AV6yxyrQ,28,5371857,Gaming
GKBI_bVFSfs,18,5362914,Autos & Vehicles
kD-_iyS95AQ,40,5356479,Comedy
VDndE432GpU,21,5337228,Music
r1afdZk0qcI,46,5322710,Music
zVc-K1kKkVk,4,5275410,Music
pFc6I0rgmgY,35,5261033,Entertainment
cVx9EFK3DWE,20,5255797,Film & Animation
AOvCyD9bbDM,4,5246181,Music
QS8bma7LRX4,36,5156609,Entertainment
T8lWjQRhQXY,7,5152446,Music
37lXjnflt9M,5,5149084,Music
qE-gdNIL8WI,7,5148427,Music
lpkRFHSpvGI,40,5147621,Entertainment
"_J7dEhYttbQ",2,5123814,Howto & Style
f5I79eakR8E,10,5068654,Music
lRkTgVynmbM,24,5058767,Comedy
A70B_LKyOrU,55,5050120,Music
5uXsCaakZD8,13,5044197,Entertainment
Zg165-mZ7x8,4,5038301,Music
oI42BohDabU,20,5026544,Entertainment
pj6k-EFxqAI,14,5012688,Music
doP7xKdGOKs,21,4992055,Entertainment
eVoXmDdI6Qg,8,4983962,Comedy
Ob4Nk6gz8Ec,5,4941139,Music
8hKbIhrb1WU,18,4884403,Entertainment
Ek3aeUhHaFY,0.0,4881616,People & Blogs
L0xKz5TsYb0,9,4879951,Music
UqItlHUSN-4,35,4858143,Music
m6lY1GXTu5M,40,4846885,Comedy
0uJUW24505E,10,4838733,Music
ZcCp7488puc,4,4816820,Music
hsh54g9JmC0,7,4811392,Music
"_7985zBEM3o",0.0,4797747,People & Blogs
IXNrHusLXoM,7,4796321,Music
3N3c3ZX6hoM,15,4793484,Comedy
lrWRy9BBp-c,30,4757066,Entertainment
2aQykuIaJVI,20,4756686,Music
Ifpq10K6zhs,5,4750957,Comedy
nhs0fuubs1I,22,4735620,Music
CPy0-J6pxKI,24,4731630,Music
rTKaXaPIfG8,53,4729184,People & Blogs
1EC8lBwroOc,0.0,4728241,Music
QZL2NrrhjHY,27,4720264,Entertainment
"_7z85ipjSwA",23,4717173,Music
P6ODTQKhaXk,10,4704560,Gaming
FeRi86DcfyA,67,4700254,Entertainment
T4FAg5A4wQk,6,4698799,Music
Lj6Y6JCu-l4,31,4695504,Music
PmUL6wMpMWw,23,4675996,Film & Animation
nSbzyEJ8X9E,22,4653335,Entertainment
"-7tSTUR7FG0",49,4651793,Music
1l26UFQ06eQ,32,4649310,Entertainment
0AUFyFEt35g,51,4645909,Music
za0qXbofvc0,23,4629859,Sports
BmLSua7LPR8,4,4613299,Music
MvIwx0JThsk,5,4591889,Music
uK7JtrAog3U,12,4588792,Music
tz23WFb8HM0,34,4584309,Music
ydPYNo8o-lI,10,4551982,Music
kXIF2FQpgjM,38,4548677,Entertainment
GJTtiYMdMtk,5,4525244,Music
xbRLc8kzNr4,15,4518268,Music
7Jz8wZbXuDA,36,4517468,Sports
E4c7EE8_IX0,0.0,4506015,Music
92RkVMMvgAU,37,4496300,Entertainment
GBTV5ekQwWw,32,4440991,Sports
f6Egj7ncOi8,33,4439763,Howto & Style
"-QPdRfqTnt4",24,4427381,Film & Animation
QM9xgHibvzM,19,4412274,Music
EdRmaKHqYJY,25,4407054,Comedy
2UByqalCfnk,17,4375940,Music
lpzJNwur6Zk,2,4336590,Music
8iFGgfJiLsg,26,4329588,Music
lYATz3STgew,24,4325436,Music
JeRtUXTQ_aQ,7,4306445,Music
XcSMdhfKga4,26,4299666,Entertainment
8BQqX3bUqtY,23,4294101,Music
Xc4xYacTu-E,35,4292852,Entertainment
"-xt_j2aIAkg",34,4288382,Sports
VsYmwBOYfW8,33,4281966,Comedy
g5c1bk8weaQ,35,4274091,Comedy
osGl1krYP-g,27,4265811,Music
8pfXS-SwbTw,23,4249764,Entertainment
uthHP6FoBmk,11,4221265,Entertainment
2kfIkm5qVsQ,13,4216642,Music
BsjQqm60ZEI,33,4210732,Comedy
niviooakBLs,8,4207558,Music
iLZwZX39FXU,21,4191959,Sports
h-6fIyaVmDM,34,4180960,Entertainment
YynKelHGhNc,13,4176506,Music
AiyZ92_JZxA,37,4162540,Entertainment
3TCcDE4fi4Y,0.0,4147634,Music
Oapebl0bADA,5,4139204,Music
nranUeNkXpM,11,4136623,Comedy
jLM2ibaRbrk,26,4110136,Entertainment
RHUxyXZBXY8,8,4083066,Music
wIimU5-UEPc,9,4080130,Music
zkNzxsaCunU,18,4071266,Music
UvDJ-ZdHiSg,14,4069209,Music
eQ3gXtX3U7I,0.0,4053308,People & Blogs
34cHO5_LX9g,13,4033320,Entertainment
jp9hK-jY6yY,37,4028489,Comedy
NHglTopVlKQ,15,4000448,Music
MUcBkpwnKcE,38,3997980,Entertainment
MQIvV800Atk,31,3951704,Entertainment
O8hm2Ml-pA8,6,3944660,Music
HKIIgYFhQlE,4,3905540,Music
dx9mF1KJr0s,16,3893242,Music
7Khl8D9RVvw,42,3886949,Entertainment
l25AL0BdD6w,7,3877234,Music
zlAqizx7Lf0,10,3872861,Entertainment
zXHUHx4R9kI,9,3849649,Music
2PH7dK6SLC8,13,3839019,Music
HzILu6yyA20,9,3803817,Film & Animation
V0HCZ4YGqbw,8,3803572,People & Blogs
hiBPUpCJ7MQ,25,3793527,Entertainment
asaB53-M2uE,18,3793215,Film & Animation
Zv7mc3TygO4,4,3790712,Entertainment
T8jBIVi6rrM,21,3781831,Comedy
bNW6oR670s4,0.0,3776818,Film & Animation
xXP9xBgTFv8,20,3763881,Music
6IL4sMC_XBE,40,3763816,Entertainment
OAGfx7eB3gA,30,3763347,Pets & Animals
TjXQzRWmb_I,22,3750515,Film & Animation
Q48VduIflPk,15,3741415,Music
BJeCOo_CRyE,20,3740389,Music
Tfaq4UTH7P0,31,3731409,Music
aHUmy5PvPjQ,10,3716247,Music
tN8o_E_f9FQ,27,3714056,Film & Animation
mcsTWPSMDtg,14,3705832,People & Blogs
xvmTr6S00Aw,24,3702093,Entertainment
ElmsIGT85tI,1,3697105,Music
KQRq9FZqNj0,4,3691162,Music
97IfPfjSaDg,11,3683523,Film & Animation
I5uXtODq74w,6,3667425,Entertainment
6S3phVSi0tI,30,3660625,Film & Animation
eFjFxgHedgM,12,3660580,Entertainment
nx1R-eHSkfM,11,3658155,Music
41PTANtZFW0,30,3657305,Music
guRbfQFddfg,20,3650713,Entertainment
ipuU0hHYiF4,3,3644542,News & Politics
muAPJiMho2Y,28,3640031,Autos & Vehicles
6uGQ_ypTw08,23,3631356,Music
sottGW1p5os,26,3621389,Entertainment
sJGgV3p8JzY,4,3619058,Music
Ks6I2rtI4ms,28,3598569,Music
"-BDImdAfodA",21,3592011,Music
MEYmQlWBeAE,31,3582721,Music
yKVAhDbSito,21,3571563,Howto & Style
YL9sNrOlK-I,51,3554105,Sports
YXTzMOmmEfE,12,3535997,Music
"-XjayddbksQ",38,3534066,Entertainment
A8ScwhLh7uo,19,3515606,Film & Animation
G4MtkhJehhk,31,3514158,Music
2pJlpCfueV0,31,3509600,People & Blogs
giOZ3EAleeI,18,3504679,Music
Ytzc6ehAvOM,1,3495806,Music
aLt_4e6MthU,28,3489582,Entertainment
zNs3AQOVeVs,39,3488652,Sports
KZ_eXk5t0r0,21,3487437,Entertainment
sFLTqo2emQ8,10,3485395,Music
Z4b6BPaO944,12,3484305,Music
