"_id",total_tags,total_views
cSp1dM2Vj48,30,10370273
ii3n7hYQOl4,25,10349746
tNtcYIo6N04,47,10269107
UaAHl_m_ybk,8,10257399
k5TqNsr6YuQ,6,10233594
HE8SYbMsm0E,10,10207428
XvIpLfV5GKo,4,10159399
MFWF9dU5Zc0,25,10031591
J3vav5Sfhrw,12,10029280
5E4ZBSInqUU,29,9995273
lGEY8IulWiA,5,9782937
CANm1UMAChY,19,9776804
WAwRrtH-4Lg,22,9768052
u_C4onVrr8U,4,9657370
FFsp5b4AUTE,34,9648943
7dGwk5-QMpc,18,9486589
E7q_wbbwGyU,6,9448387
VaGcPRMY5UM,4,9438274
LjUXm0Zy_dk,0.0,9419910
tJfDBSWYqU8,33,9358186
GfCqMv--ncA,5,9297153
T3hXC5yNZOc,7,9251221
vAh7jTAkCKc,7,9211780
LgmxMuW6Fsc,10,9193290
E-u9uo0laA8,18,9137359
SphTGtDlhHw,30,9095192
Ml9v3wHLuWI,28,9057507
axVvZrDz60k,46,9020432
4HU6Z7anycw,6,8982414
fN5HV79_8B8,22,8968431
0aan7Vtcco0,32,8938666
zi_6oaQyckM,37,8903489
8BAhwgjMvnM,23,8883305
8_rTIAOohas,14,8842980
Vm4Xn5vjqRA,22,8788929
VloKUNlNG2s,6,8778432
2tDKp41nrw8,6,8753550
0XuOkYlUWIs,32,8725060
Jw1Y-zhQURU,9,8721841
xuAH21DkJow,4,8679504
WlZu4RmD_oU,37,8673159
X6SaVOLRcF4,31,8656752
zxwfDlhJIpw,34,8626957
K0GRBMSCIK4,24,8623591
Qcj15vHJTtk,39,8607264
n0j_CX1S2es,24,8597814
tGRzz0oqgUE,9,8585663
cmc8q2dcIMs,5,8573471
9f5zD7ZSNpQ,11,8568571
lVNt1sUWyDU,10,8538481
VXa16Zl81vE,24,8490391
305ryPvU6A8,20,8486629
ixxR3ZoqnF0,6,8484137
wdQeKqYrhjU,15,8476656
rCnU-IDcnnI,8,8473680
nVzA1uWTydQ,7,8432344
PjqKPHZJgF0,31,8429354
f55HngFE9YM,33,8325207
rNYduKIyEvA,5,8320357
Q1JiptOTxno,45,8287791
mBrdEYW0Vno,17,8256930
Vm-avsAjrIo,24,8184869
Kbj2Zss-5GY,4,8139750
7AXo-bYGXI4,7,8136336
sZoZryCb0P0,5,8025330
a7NJ6Gek9v4,1,7994101
425M4M3Opkk,22,7919156
Jodbdj52Vc0,23,7917701
igT1QKKm2GE,6,7916368
rQWZK5U233s,11,7915595
jnQ4V-wajLY,0.0,7882139
2SJ0hgdciNE,36,7877471
9flG5EqRPSc,19,7841325
J41qe-TM1DY,7,7800545
zvb2kBii-OU,34,7746670
V3EYjVPRClU,1,7742820
BgR_HJ7aGDY,6,7724919
CZkUNPBlJIQ,25,7701371
efxiDBygvdg,22,7693735
UKserM-i0_A,24,7676068
J1L3nDC4mEk,24,7675202
HbaQ9xnoMGQ,16,7608552
TSA9VZduuZ4,43,7604626
pRN7UAGVzPE,34,7602365
5iOhzJdDawE,7,7595900
jSJr3dXZfcg,11,7590874
K5xERXE7pxI,13,7540361
Q17z9a03YaM,20,7536395
O-fydBL9g_k,17,7490989
gf7FV1i7lb8,30,7472536
CyzEtbG-sxY,7,7434919
R1TSiB9OuVM,10,7390059
EBYsx1QWF9A,13,7351946
7bfS6seiLhk,17,7308023
nRafaCcfrcI,31,7301457
ABLsSWE06q4,6,7285185
lMSHTnkVJVs,16,7268812
leu-cTvMWTA,20,7201892
XGd1dq1BatM,15,7200827
NaY91YjVbEM,43,7172963
RNlQU-7y9Fo,15,7124076
nVHcXZK7pKs,9,7123638
7PmUtmfTmbg,26,7089685
7R1N-8SoqcM,33,7075316
nsZvmFUXkrI,28,7070175
P9Ijqa_2eu0,33,6984304
Wd_idMpg_qQ,7,6966384
4ughEPQGd8w,8,6943585
BC19fhyTG_M,21,6924540
vHwOMWGAg_o,0.0,6807013
kgaO45SyaO4,5,6802437
vjSohj-Iclc,4,6791996
k2NskGo6x40,28,6768765
4xN-jUfJAyM,16,6763128
v0RrsWK4GlY,25,6747924
l3uG4T8pJfw,15,6744540
aj8mN_7Apcw,21,6686262
6sHIq41sI-w,51,6682726
86sFN_2kw5k,19,6630434
9S1Gc1nSXd4,35,6606758
i63jWjoAWHE,15,6597033
lo57l5ZDgwU,13,6575631
B663R7kgxEA,22,6558768
cMD63TwzB1o,4,6547510
IVzGsh0zRec,5,6543327
7iQn-toQp6A,40,6535720
AenmqoozqoA,14,6519662
uexk7jWXYmU,37,6503316
WyuPSLj_6aw,4,6479552
nlozE2m-NMc,21,6466047
scLYjsvrUMk,8,6426789
Y-iFgDK_D5s,15,6416920
4AtOU0dDXv8,9,6379367
NNJKWVmK-GM,20,6362355
me5ifeBFaFo,43,6355949
I7B0z_2EZmQ,12,6337564
mctn16hLzhg,42,6319238
VQhjbCxOxdo,35,6298207
aMcjxSThD54,18,6289507
AbEHRrq7xwU,23,6230350
C_ijc7A5oAc,6,6210175
ItL6vcUrpUs,33,6164967
WapBwuNtUzQ,24,6155214
inZzcTXYowY,4,6155059
7bPSxB-8__o,40,6132645
ceyU5UBumLU,59,6132079
UfR5dKcKJvY,24,6102245
pisY6J2Ky6U,31,6101540
0URpDxIjZrQ,25,6095300
cHB_s970Uyw,17,6083953
Ibp6KqGRVbY,23,6078793
ptYSpR9cTHU,21,6057884
8LAoB0R4S5I,41,6052396
W4CB5SeBGkI,12,6044998
f1xIeTCgoFk,0.0,6023641
fC8gutkCu1c,39,6009216
pcJo0tIWybY,4,6004782
WR7cc5t7tv8,0.0,5967802
mQ055hHdxbE,7,5948415
CG9yQ8PXf6o,0.0,5916361
6p-QzY5bxJ0,26,5905916
Am6NHDbj6XA,39,5894832
BjRNY3u3bUw,22,5875934
900X9fDFLc4,42,5855069
2WHcBwq2wHc,25,5851780
gPHVLxm8U-0,31,5829270
V-F7tpdPZ-E,31,5810628
jG1JY0rt2Os,20,5801731
KUUjtUP2CrE,15,5752621
fNVUTgd4pio,7,5736755
v6yg4ImnYwA,14,5730531
eZRmP-l3Nz0,9,5692404
TZSVf-yD7N8,26,5643605
PaYvlVR_BEc,36,5621537
guf1L6HmeOc,8,5617319
ys2x8oOK7wE,31,5604640
MctZLEYlU4s,35,5603180
SbrOMrjhyvI,9,5587218
LxoGNkLpgZk,9,5572104
pOEzjT-SED0,4,5554444
bZs2ImrTg5w,24,5548248
q2sI-T69sjs,38,5547578
2fGXDFiFBhg,34,5539467
h3EJICKwITw,12,5529883
mUYsp5baMXo,6,5517903
Wlnt6VrVUgc,22,5494956
xLtYmhj-0Kg,12,5484928
m4faDISwSVo,12,5455878
vbiiik_T3Bo,26,5452917
uBYzYji4rmE,22,5431961
r-d5HI-zC3I,8,5419382
z14A0Vblm0I,9,5374678
zX0AV6yxyrQ,28,5371857
GKBI_bVFSfs,18,5362914
kD-_iyS95AQ,40,5356479
VDndE432GpU,21,5337228
r1afdZk0qcI,46,5322710
zVc-K1kKkVk,4,5275410
pFc6I0rgmgY,35,5261033
cVx9EFK3DWE,20,5255797
AOvCyD9bbDM,4,5246181
QS8bma7LRX4,36,5156609
T8lWjQRhQXY,7,5152446
37lXjnflt9M,5,5149084
qE-gdNIL8WI,7,5148427
lpkRFHSpvGI,40,5147621
"_J7dEhYttbQ",2,5123814
f5I79eakR8E,10,5068654
lRkTgVynmbM,24,5058767
A70B_LKyOrU,55,5050120
5uXsCaakZD8,13,5044197
Zg165-mZ7x8,4,5038301
oI42BohDabU,20,5026544
pj6k-EFxqAI,14,5012688
doP7xKdGOKs,21,4992055
eVoXmDdI6Qg,8,4983962
Ob4Nk6gz8Ec,5,4941139
8hKbIhrb1WU,18,4884403
Ek3aeUhHaFY,0.0,4881616
L0xKz5TsYb0,9,4879951
UqItlHUSN-4,35,4858143
m6lY1GXTu5M,40,4846885
0uJUW24505E,10,4838733
ZcCp7488puc,4,4816820
hsh54g9JmC0,7,4811392
"_7985zBEM3o",0.0,4797747
IXNrHusLXoM,7,4796321
3N3c3ZX6hoM,15,4793484
lrWRy9BBp-c,30,4757066
2aQykuIaJVI,20,4756686
Ifpq10K6zhs,5,4750957
nhs0fuubs1I,22,4735620
CPy0-J6pxKI,24,4731630
rTKaXaPIfG8,53,4729184
1EC8lBwroOc,0.0,4728241
QZL2NrrhjHY,27,4720264
"_7z85ipjSwA",23,4717173
P6ODTQKhaXk,10,4704560
FeRi86DcfyA,67,4700254
T4FAg5A4wQk,6,4698799
Lj6Y6JCu-l4,31,4695504
PmUL6wMpMWw,23,4675996
nSbzyEJ8X9E,22,4653335
"-7tSTUR7FG0",49,4651793
1l26UFQ06eQ,32,4649310
0AUFyFEt35g,51,4645909
za0qXbofvc0,23,4629859
BmLSua7LPR8,4,4613299
MvIwx0JThsk,5,4591889
uK7JtrAog3U,12,4588792
tz23WFb8HM0,34,4584309
ydPYNo8o-lI,10,4551982
kXIF2FQpgjM,38,4548677
GJTtiYMdMtk,5,4525244
xbRLc8kzNr4,15,4518268
7Jz8wZbXuDA,36,4517468
E4c7EE8_IX0,0.0,4506015
92RkVMMvgAU,37,4496300
GBTV5ekQwWw,32,4440991
f6Egj7ncOi8,33,4439763
"-QPdRfqTnt4",24,4427381
QM9xgHibvzM,19,4412274
EdRmaKHqYJY,25,4407054
2UByqalCfnk,17,4375940
lpzJNwur6Zk,2,4336590
8iFGgfJiLsg,26,4329588
lYATz3STgew,24,4325436
JeRtUXTQ_aQ,7,4306445
XcSMdhfKga4,26,4299666
8BQqX3bUqtY,23,4294101
Xc4xYacTu-E,35,4292852
"-xt_j2aIAkg",34,4288382
VsYmwBOYfW8,33,4281966
g5c1bk8weaQ,35,4274091
osGl1krYP-g,27,4265811
8pfXS-SwbTw,23,4249764
uthHP6FoBmk,11,4221265
2kfIkm5qVsQ,13,4216642
BsjQqm60ZEI,33,4210732
niviooakBLs,8,4207558
iLZwZX39FXU,21,4191959
h-6fIyaVmDM,34,4180960
YynKelHGhNc,13,4176506
AiyZ92_JZxA,37,4162540
3TCcDE4fi4Y,0.0,4147634
Oapebl0bADA,5,4139204
nranUeNkXpM,11,4136623
jLM2ibaRbrk,26,4110136
RHUxyXZBXY8,8,4083066
wIimU5-UEPc,9,4080130
zkNzxsaCunU,18,4071266
UvDJ-ZdHiSg,14,4069209
eQ3gXtX3U7I,0.0,4053308
34cHO5_LX9g,13,4033320
jp9hK-jY6yY,37,4028489
NHglTopVlKQ,15,4000448
MUcBkpwnKcE,38,3997980
MQIvV800Atk,31,3951704
O8hm2Ml-pA8,6,3944660
HKIIgYFhQlE,4,3905540
dx9mF1KJr0s,16,3893242
7Khl8D9RVvw,42,3886949
l25AL0BdD6w,7,3877234
zlAqizx7Lf0,10,3872861
zXHUHx4R9kI,9,3849649
2PH7dK6SLC8,13,3839019
HzILu6yyA20,9,3803817
V0HCZ4YGqbw,8,3803572
hiBPUpCJ7MQ,25,3793527
asaB53-M2uE,18,3793215
Zv7mc3TygO4,4,3790712
T8jBIVi6rrM,21,3781831
bNW6oR670s4,0.0,3776818
xXP9xBgTFv8,20,3763881
6IL4sMC_XBE,40,3763816
OAGfx7eB3gA,30,3763347
TjXQzRWmb_I,22,3750515
Q48VduIflPk,15,3741415
BJeCOo_CRyE,20,3740389
Tfaq4UTH7P0,31,3731409
aHUmy5PvPjQ,10,3716247
tN8o_E_f9FQ,27,3714056
mcsTWPSMDtg,14,3705832
xvmTr6S00Aw,24,3702093
ElmsIGT85tI,1,3697105
KQRq9FZqNj0,4,3691162
97IfPfjSaDg,11,3683523
I5uXtODq74w,6,3667425
6S3phVSi0tI,30,3660625
eFjFxgHedgM,12,3660580
nx1R-eHSkfM,11,3658155
41PTANtZFW0,30,3657305
guRbfQFddfg,20,3650713
ipuU0hHYiF4,3,3644542
muAPJiMho2Y,28,3640031
6uGQ_ypTw08,23,3631356
sottGW1p5os,26,3621389
sJGgV3p8JzY,4,3619058
Ks6I2rtI4ms,28,3598569
"-BDImdAfodA",21,3592011
MEYmQlWBeAE,31,3582721
yKVAhDbSito,21,3571563
YL9sNrOlK-I,51,3554105
YXTzMOmmEfE,12,3535997
"-XjayddbksQ",38,3534066
A8ScwhLh7uo,19,3515606
G4MtkhJehhk,31,3514158
2pJlpCfueV0,31,3509600
giOZ3EAleeI,18,3504679
Ytzc6ehAvOM,1,3495806
aLt_4e6MthU,28,3489582
zNs3AQOVeVs,39,3488652
KZ_eXk5t0r0,21,3487437
sFLTqo2emQ8,10,3485395
Z4b6BPaO944,12,3484305
rMFxV-l3qG0,28,3479682
sn3Ct2_L4OA,8,3456835
VQhIUzPJi8o,8,3447350
l3vbvF8bQfI,10,3445095
Q-oM2BQ8Jow,7,3443597
3wnHiK5sKgA,12,3433317
44NYFvhXmW8,28,3426889
6i9UUvxhAlY,22,3424000
gNTIOZ3jJJo,9,3416477
fiusxyygqGk,33,3407008
AtCLwYFRp4o,20,3396560
i0biqMZrxJ0,19,3384358
vbZbnpbVc0w,18,3380185
J_QGZspO4gg,1,3371691
1ce456Nnkt8,24,3371368
QNzzJzdgUto,0.0,3368971
ZJkc_C5-Cd8,34,3362428
h4tcNcZ0MdY,22,3351239
R10qTLfwm8E,26,3333451
61G3tDZQNhg,39,3327423
z2GvJtzn41E,12,3326417
8V08Gu1DOgE,25,3322130
82QbMrg2HoI,42,3318466
cQp_C_Zrc3U,46,3314473
5NaAwSpswJE,20,3298489
p1DAEZNyJ8E,29,3296668
qfZcxeqa1g4,0.0,3296614
89PKbJ2NAqc,35,3286636
FhwktRDG_aQ,24,3277760
zbyu6MOzpLE,11,3277326
gegW-vR_UHo,11,3274628
JcC5VGOx8I8,7,3265672
pWqef6cbwzI,5,3264771
fzmM0AB60QQ,32,3250746
4WnizmrnJlk,29,3247265
yxfZBun1uBU,11,3244281
Z0vLiQLpsc8,29,3222946
sxvC647Yi0A,9,3212673
2HboMs0vbsE,9,3211941
paxgKBUK4wQ,16,3207833
O5ROSS9ReUY,34,3203079
aZUopuhqwCM,25,3199707
mXiFHDfvn4A,0.0,3195138
E60w-0q8Y0Y,13,3192494
5w1GdX44DHc,47,3184455
QH9UE7FDbcM,12,3180906
"-bx_vG94LSo",34,3177766
nE_TyW-7F4Q,35,3165639
bYpItS1jS3Y,30,3164547
D_eZxSYRhco,30,3161413
QW8whgmyTNU,10,3158685
mkpINSUnDpA,23,3153709
r15_6z9xryo,9,3151902
PzcaR1N0pTI,25,3141764
sjN-NGsRg9g,13,3133284
11K013qpRR4,7,3128325
fzCct3j-pH8,4,3126660
o-nGPNn19vE,22,3115765
3VbHg5fqBYw,11,3111226
dXt1ftcdxNg,39,3108264
aKPz583WRpQ,37,3103457
FxFF5bgG6xs,32,3087094
ROzC9ZySGos,27,3078660
gEHCXl4J9Qo,13,3075265
dRvKm__GrqU,21,3074952
8z_cg5CypRc,26,3074263
CzmIrPvIzxk,15,3073599
KHyvGmuvIoY,27,3063537
EbSOKsFHwU8,21,3052912
6Y65fxIRs8Q,0.0,3052668
eT9eWtb7C4c,11,3048748
NVCqz2BDfcQ,15,3043598
HS6R2Q7eRdg,6,3038406
nUv22OHdjQU,0.0,3027431
sm7_baYCIkQ,9,3020386
Q9vZHbcx6cQ,0.0,3010190
R8jVjBDcV4M,22,3009610
uovntV3ZMDc,37,2991013
NJAtY43vsl8,25,2985521
h0xHxZpNAHw,5,2981926
JpvC3j9Qxus,11,2975208
aMGQgC5yV-o,27,2971860
MOP50VQBdCg,15,2968478
48qcnpCWBq0,4,2945748
gjXrm2Q-te4,33,2943435
"_0ovuLsnU1A",16,2941282
A8HLnDP6uRM,38,2935898
xe6o4ex7-YA,27,2935778
nrXlY6gzTTM,30,2931630
T1-k7VYwsHg,29,2927810
"_AsPY1bQx70",5,2924302
BYG1qf3XJNM,35,2919799
M2zrC1QF7Zo,0.0,2910486
ahSKGi_21xg,30,2881650
V6wWKNij_1M,31,2875637
yEWb6bsd5lo,33,2857908
miY8hckQPwc,27,2849710
I2sRc3j7IU0,10,2840146
Z1rZAT2GtmI,16,2836865
VYzDZ1qeKEc,9,2836772
Ut7e-0X8lds,6,2834549
d72Ru3y4YJA,10,2830903
yl2GaxVGUaI,7,2827993
yN7N0P2TxHQ,31,2797099
y5SxNJSGDTw,33,2790005
UsciN7COX1g,30,2788033
soBb4X5Hb6k,23,2785672
PWwvR6cSH4o,22,2774358
MMGrzOu1amQ,33,2755329
5TTdcyRi-nw,18,2754268
RdMWIgZIPD8,12,2753967
tEA_n4mmBok,37,2732822
hWLjYJ4BzvI,0.0,2730038
6wGj89GE6aQ,24,2723351
lfIhBu0TZBs,0.0,2714429
S10azlzvS_8,40,2712840
MPhAEcLaiNs,50,2709257
R_O5x0LNksM,27,2704906
hOulcmOHCIQ,26,2701442
T1B1CxmAXLk,19,2694758
mriYyuDmB58,41,2687148
IOuFE-6Awos,15,2684758
UsXI9cvTb7E,17,2678985
yef_HfQoBd8,32,2678626
rYzLh2QuraQ,33,2667336
Un8b0JDw0Bc,23,2665975
Yv_rod8-Ma0,22,2663507
noUH5aYUBx4,35,2654222
hHaUQh6Gx-Q,9,2653229
gaEPYljtIAw,16,2646329
6781x0TTSks,37,2643362
TM-gCW45YHc,21,2641454
QVoleJYgdM8,44,2636357
TXHB9wL4WFg,20,2624150
aJrCQypP4a0,16,2616726
oSZDe6CrfN4,4,2616417
wYeMe6_ISKc,4,2613120
r8FQ5wUYm9c,33,2608451
PxJrWCSJfBk,24,2605329
Xk_2NB0RIaA,5,2604269
9Szts88zY4o,16,2580817
yqulWPljawo,28,2578951
y_WoOYybCro,25,2574791
r2vDabFVj-A,28,2573166
vW7H-DKivX8,26,2570365
I6N-XuYllgA,23,2569307
ijUK3z5rt5s,6,2569113
CaE0JD1X12g,14,2561508
fiGSDywrX1Y,6,2553871
Ev9rOA2Yjs0,11,2553605
